Country or Territory,World Region
Cuba,Caribbean
Haiti,Caribbean
Dominican Republic,Caribbean
Puerto Rico (USA),Caribbean
Jamaica,Caribbean
Trinidad and Tobago,Caribbean
Guadeloupe (France),Caribbean
Martinique (France),Caribbean
Bahamas,Caribbean
Barbados,Caribbean
Saint Lucia,Caribbean
Curaçao (Netherlands),Caribbean
Grenada,Caribbean
U.S. Virgin Islands,Caribbean
Aruba  (Netherlands),Caribbean
Saint Vincent and the Grenadines,Caribbean
Antigua and Barbuda,Caribbean
Dominica,Caribbean
Bermuda (UK),Caribbean
Cayman Islands (UK),Caribbean
Saint Kitts and Nevis,Caribbean
Turks and Caicos Islands (UK),Caribbean
British Virgin Islands(UK),Caribbean
Caribbean Netherlands(Netherlands),Caribbean
Anguilla  (UK),Caribbean
Montserrat (UK),Caribbean
Sint Maarten(Netherlands),Caribbean
Saint Martin (France),Caribbean
"Congo, DROC",Central Africa
Angola,Central Africa
Cameroon,Central Africa
Chad,Central Africa
Central African Republic,Central Africa
"Congo, ROC",Central Africa
Gabon,Central Africa
Equatorial Guinea,Central Africa
São Tomé and Príncipe,Central Africa
Guatemala,Central America
Honduras,Central America
El Salvador,Central America
Nicaragua,Central America
Costa Rica,Central America
Panama,Central America
Belize,Central America
Ethiopia,Eastern Africa
Tanzania,Eastern Africa
Kenya,Eastern Africa
Uganda,Eastern Africa
Mozambique,Eastern Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
Rwanda,Eastern Africa
Burundi,Eastern Africa
Somalia,Eastern Africa
Eritrea,Eastern Africa
Mauritius,Eastern Africa
Djibouti,Eastern Africa
Réunion (France),Eastern Africa
Comoros,Eastern Africa
Mayotte (France),Eastern Africa
Seychelles,Eastern Africa
China,Eastern Asia
Japan,Eastern Asia
South Korea,Eastern Asia
North Korea,Eastern Asia
Taiwan,Eastern Asia
Mongolia,Eastern Asia
Ukraine,Eastern Europe
Poland,Eastern Europe
Romania,Eastern Europe
Czech Republic,Eastern Europe
Hungary,Eastern Europe
Belarus,Eastern Europe
Bulgaria,Eastern Europe
Slovakia,Eastern Europe
Moldova,Eastern Europe
Russia,Eastern Europe
Iran,Middle East
Iraq,Middle East
Saudi Arabia,Middle East
Yemen,Middle East
Syria,Middle East
United Arab Emirates,Middle East
Israel,Middle East
Jordan,Middle East
Palestinian territories,Middle East
Lebanon,Middle East
Kuwait,Middle East
Oman,Middle East
Qatar,Middle East
Bahrain,Middle East
Cyprus,Middle East
United States,North America
Mexico,North America
Canada,North America
Egypt,Northern Africa
Algeria,Northern Africa
Morocco,Northern Africa
Sudan,Northern Africa
Tunisia,Northern Africa
South Sudan,Northern Africa
Libya,Northern Africa
Western Sahara,Northern Africa
United Kingdom,Northern Europe
Sweden,Northern Europe
Denmark,Northern Europe
Finland,Northern Europe
Norway,Northern Europe
Ireland,Northern Europe
Lithuania,Northern Europe
Latvia,Northern Europe
Estonia,Northern Europe
Iceland,Northern Europe
Faroe Islands(Denmark),Northern Europe
Greenland (Denmark),Northern Europe
Australia,Oceania
New Zealand,Oceania
Timor-Leste (East Timor),Oceania
Papua New Guinea,Oceania
Fiji,Oceania
Solomon Islands,Oceania
Vanuatu,Oceania
New Caledonia(France),Oceania
Guam (USA),Oceania
Federated States of Micronesia,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Northern Mariana Islands (USA),Oceania
Palau,Oceania
French Polynesia(France),Oceania
Samoa,Oceania
Tonga,Oceania
American Samoa(US),Oceania
Tuvalu,Oceania
Brazil,South America
Colombia,South America
Argentina,South America
Peru,South America
Venezuela,South America
Chile,South America
Ecuador,South America
Bolivia,South America
Paraguay,South America
Uruguay,South America
Guyana,South America
Suriname,South America
French Guiana(France),South America
India,South-Central Asia
Pakistan,South-Central Asia
Bangladesh,South-Central Asia
Uzbekistan,South-Central Asia
Nepal,South-Central Asia
Afghanistan,South-Central Asia
Sri Lanka,South-Central Asia
Kazakhstan,South-Central Asia
Tajikistan,South-Central Asia
Kyrgyzstan,South-Central Asia
Turkmenistan,South-Central Asia
Bhutan,South-Central Asia
Maldives,South-Central Asia
Indonesia,South-East Asia
Philippines,South-East Asia
Vietnam,South-East Asia
Thailand,South-East Asia
Myanmar (Burma),South-East Asia
Malaysia,South-East Asia
Cambodia,South-East Asia
Lao PDR,South-East Asia
Singapore,South-East Asia
Brunei,South-East Asia
South Africa,Southern Africa
Namibia,Southern Africa
Lesotho,Southern Africa
Botswana,Southern Africa
Swaziland,Southern Africa
Italy,Southern Europe
Spain,Southern Europe
Greece,Southern Europe
Portugal,Southern Europe
Serbia,Southern Europe
Croatia,Southern Europe
Bosnia and Herzegovina,Southern Europe
Albania,Southern Europe
Slovenia,Southern Europe
Macedonia,Southern Europe
Montenegro,Southern Europe
Malta,Southern Europe
Andorra,Southern Europe
San Marino,Southern Europe
Vatican City (Holy See),Southern Europe
Turkey,Southern Europe
Nigeria,Western Africa
Ghana,Western Africa
Côte d'Ivoire,Western Africa
Niger,Western Africa
Burkina Faso,Western Africa
Mali,Western Africa
Senegal,Western Africa
Guinea,Western Africa
Benin,Western Africa
Togo,Western Africa
Sierra Leone,Western Africa
Liberia,Western Africa
Mauritania,Western Africa
Gambia,Western Africa
Guinea-Bissau,Western Africa
Cape Verde,Western Africa
Azerbaijan,Western Asia
Georgia,Western Asia
Armenia,Western Asia
Germany,Western Europe
France,Western Europe
Netherlands,Western Europe
Belgium,Western Europe
Austria,Western Europe
Switzerland,Western Europe
Luxembourg,Western Europe
Liechtenstein,Western Europe
Monaco,Western Europe
